RT @jeremymowery: How will Obama move his green energy #FORWARD &amp; at the same time demonize the Union coal miners??? Time to wake up,angry,angry
Don't listen to the media. they want you to believe @MittRomney can't win so you shouldn't vote. THEY ARE TELLING YOU LIES!! VOTE OUT OBAMA,angry,angry
http://t.co/tmQgOLSn - I support the re-election of Barrack Obama and have converted TheLibrary.co's whole presentation until after Tuesday.,hopeful,hopeful
@PompeyHendo Hey. their system gave them Obama. ours gave us Cameron. Who looks silly when we look at it like that?,mocking,mocking
RT @PatsyRoussel: Daily Kos: Economists Agree: Obama is Right on Jobs and Recovery http://t.co/AgS0u35O via @dailykos,happy,happy
I can assure you people who voted after church and who are Christians did not vote for Obama! Christians believe in life and the Bible!,hopeful,hopeful
Just had a lecture where our lecturer started doing a dance to Traffic signals and calling Barack Obama. Osama Bin Laden  #weirdlecture,sad,sad
ANGRY WHITE DUDE OPEN LETTER TO PRESIDENT OBAMA http://t.co/XPs8yz6W via @sharethis,angry,angry
@emily4213: friday needs to be counted as part of the weekend obama work on thisobama needs to hook us up,funny,funny
I love how as an Australian Im so interested in Obama cause I know that my politicians are ridiculous and my country is doomed.,sad,sad
Obama for me RT@marieclaireuk: The US Presidential election is tomorrow. Who are you hoping will win? Obama or Romney? Let us know.,none,none
RT @Obama2012: ""If you work hard. you can make it here in America. Thats what were fighting for. Thats why Im asking for your vote."",hopeful,hopeful
RT @KeShai_Ross: Rosa Parks Sat . So Martin Luther King Jr Could Walk . So Barack Obama Could Run . So We Could All Fly .,hopeful,hopeful
Polls can't capture the number of Americans voting FOR the FOUR obama left to die. alone. in Libya. due to cowardice and deceit.,angry,angry
@mike220889 @derrenbrown granted. but it does show that in many major countries Obama has the support of a huge majority.,hopeful,hopeful
RT @TheAnchoress: Former Virginia Governor Douglas Wilder. a Democrat who supported obama will not endorse him http://t.co/jwMqcQxq,happy,happy
RT @JACSUTT: @ZohalxShah @SophiaBush please tell me exactly what Obama has done besides pose for a picture in NJ cause were still suffe,angry,angry
@RealKevinNash I'm English and would have Obama as our prime minister anyday. The one to take America forward.,happy,happy
RT @AP: MT @APCampaign: On the final lap of an exhausting race. #Romney. #Obama narrow the field to key states: http://t.co/BpuZE8PU,none,none
Most Americans living in Israel are Democratic but now voting for Romney.  Obama does not care about Israel,angry,angry
Obama. Romney take long campaign journey into final day - Fox News,none,none
Saturday was the Last Day for early option in FL. wherever polls showed Democratic President Barack Obama and Re http://t.co/aqBQAy3k,none,none
President Obama. the last time that I checked. Staten Island and Long Island are still part of the United States.,mocking,mocking
US election: last day of campaigning live: Latest updates as Barack Obama and Mitt Romney embark on a frenzied l http://t.co/H0P9Dy5c,none,none
RT @keder: The definition of insanity is witnessing the failure that is Obama first hand. and then voting for him again expecting differ,mocking,mocking
In Campaign's Closing Days. Obama Lays Claim to the Mantle of Change http://t.co/7pCfeOzB,hopeful,hopeful
RT @SnoozeInBrief: Obama doesn't represent the future. he represents the past. Under him. the amount of past has risen to an all-time high.,angry,angry
Obama. Romney takes long campaign journey into the final day. http://t.co/NhDbz68w,none,none
@obama @potus your Katrina #sandy was the bullet that will do you in. Your no show in #liberal states while people suffer.,angry,angry
When is the deadline fing for Obama and that other man? Like when will everyone find out who won?,none,none
Obama and Romney in closing pitches as legal disputes begin http://t.co/0jILYxeo,none,none
Bin Laden raid movie criticised as pro-Obama: A film that dramatises the raid on Osama Bin Laden's hideaway by U http://t.co/Wion6RMc,angry,angry
Bin Laden raid movie criticised as pro-Obama: A film that dramatises the raid on Osama Bin Laden's hideaway by U http://t.co/Cpd9x7pb,angry,angry
RT @khalifallah: ""Dear FATHER JESUS: we pray that YOU will continue to reveal to every voter the truth about Obama's lack of love for th,angry,angry
NATE SILVER: Obama's Odds Of Winning Have Now Hit An Overwhelming 86% by @hblodget http://t.co/t9p7RAvt,happy,happy
Obama. Romney take long campaign journey into final day http://t.co/YHFvSLUj,none,none
RT @MsNatTurner: The United States of America will be the laughing stock to other countries if Mitt Romney is elected. They are watching,mocking,mocking
RT @BarackObama: FACT: President Obama has signed 18 tax cuts that are helping small businesses grow and create jobs. #progress,happy,happy
RT @seanagnew: That doesn't happen when your internals look good MT @markknoller: It was 3:15AM/CT when Pres Obama arrived at his hotel,none,none
RT @mattklewis: ""Jonathan Alter confronted us on the street and became apoplectic. literally yelling &amp; shaking and drawing a crowd..,none,none
Michelle Obama's Best Fashion Moments As First Lady - Forbes: Michelle Obama's Best Fashion Moments As First Lad http://t.co/LtumLLVK,none,none
@cspanwj #Benghazi101 - The Obama administration said that Obama was not directly involved  LIE,angry,angry
#WhyImNotVotingForObama Because if Obama's mouth is moving. he is lying,angry,angry
Mormonism. like any other religion or cult. is shit. Why Dawkins singles this out as opposed to say Obama's Islam is not quite clear.,angry,angry
Students at Romney's almas mega-important. Obama stinks at the job and he's a nasty guy to boot. Send him to the sidekick job on Lett,angry,angry
Also I think the Barack Obama administration supported FEMA. Is doing a horrible job. And I'm ashamed that Obama is campaigning as a hero.,angry,angry
In Campaign's Closing Days. Obama Lays Claim to the Mantle of Change - New York Times (blog): New York Times (bl http://t.co/CDOXMYoR,none,none
New Obama policy: LGBT immigrants cannot be deported if in homosexual relationship: Its official now.,mocking,mocking
RT @CNNMoney: President Obama and challenger Mitt Romney have vastly different ideas on helping the poor. http://t.co/7IZzkrEH #election2012,none,none
CORRECT: REY WALKER IS THE PERSON GAVE ORDERS FOR BOMB INSIDE THE CAR AT THE HOUSE. NOT JUST 1. WORKING WITH OBAMA HITLER.  CARLOS ROBLES,angry,angry
In Case You Missed It: Chris Rock Calls Obama The White President You Can Trust http://t.co/2Bc1EraV,funny,funny
2654Linda McMahon says she still backs Romney--she's just tying herself to Obama in minority neighborhoods. #sleazy http://t.c,angry,angry
voting for Obama because of the color of his skin is a form of IGNORANCE and RACISM!!!"",angry,angry
Every American celebrity that I follow has tweeted at least once supporting Obama,happy,happy
RT @JoeCienkowski: More filthy lies! Obama lied at debate about Stafford Act during Katrina. BUT he also voted against act aid to NOLA.,angry,angry
I'm voting for revenge for 4 men Obama left to die.,angry,angry
RT @rushlimbaugh: Spread the word.  The media can't find these sound bites of Obama condemning and blaming America for imposing freedom.,angry,angry
RICHARD KOO: Barack #Obamas Policies Were The Correct Response To The Recession http://t.co/4DQWzzLX @USRadioNews,happy,happy
SANDY long GAS lines prove that Obama is all show and NO RESULTS. BIG GOV does not WORK. #gop #tcot #democrat  #latino,angry,angry
#Obama: Good news for the US and World http://t.co/U67aSIeX #BlackVote @BarackObama,hopeful,hopeful
@akilabwala Why did he have to yab Mitt Romney like that. claiming he was talking Hurricane Sandy &amp; Obama?,angry,angry
30.000 in Florida last night greeting Obama - Democratic Underground http://t.co/g8WN6eGx,none,none
RT @joeserg: Obama action figure? Keep scrolling. the poses get more and more ridiculous (hilarious)! http://t.co/URz7qcFr,funny,funny
RT @obamawontwin1: In one day we will take our country back and Obama can quit wearing that American Flag pin he despises so much!,angry,angry
SANDY long GAS lines prove that Obama is all show and NO RESULTS. BIG GOV does not WORK. #gop #tcot #democrat,angry,angry
@BarackObama: FACT: Since taking office. President Obama has cut taxes for the typical American family by $3.600. #progress,happy,happy
FiveThirtyEight: State and National Polls Come Into Better Alignment: It appears that President Obama is likely http://t.co/6uJOGJGa,hopeful,hopeful
@cspanwj #Benghazi101 - The Obama administration said that they did not know what happened for more than 17 days after  LIE,angry,angry
Wall Street supports Romney because Obama sprays money at them?  Wall Street abhors money printing (except in Europe) &amp; craves US austerity?,mocking,mocking
Where do these newspapers who have literally flipped the script get off saying President Obama hasn't fulfilled his promises? #Politics,angry,angry
RT @DennisDMZ: Don't worry President Obama. under President Romney you'll at least be able to find a new job.,mocking,mocking
Who will be the next US president? Obama or Romney?,none,none
SANDY long GAS lines prove that Obama is all show and NO RESULTS. BIG GOV does not WORK. #gop #tcot #democrat #latino #hispanic,angry,angry
How can you vote for Obama: No leadership there-the last four yrs are a testament to his failures,angry,angry
RT @lauriewilson999: Obama is possibly an idol of mine. Ultimate respect to my bro,happy,happy
50 million babies aborted by Planned Parenthood (most black) it's their #1 money maker. #Obama PREY ON WOMEN'S FEARS - USES CANCER SCREENING,angry,angry
RT @chuckwoolery: MSNBC says that if Elizabeth Warren thinks she is native American than she is. Kind of like how Obama thinks he is a l,mocking,mocking
Electoral College Map Obama Does Not Need to Win Florida or Ohio to Win the - PolicyMic http://t.co/MiQEQjdW #florida,none,none
Obama. Romney launch final attempt to woo voters in battleground states - CTV News http://t.co/nwG7LG0Y,none,none
@DefendWallSt.I guess you are talking about yourself soon to be unemployed no way OBAMA will EVER be unemployed get over it JERK!!!,angry,angry
Obama. Romney make a mad dash in a final bid for votes: President Obama and GOP challenger Mitt Romney will spen http://t.co/ZlRZXZbx,none,none
@MsTerryMcMillan Obama got busted for treason. yet he remains president. Your point?,mocking,mocking
Gotta vote today for sure #Obama,happy,happy
As a country. we must head in the right direction and the only person willing to take us there is President Barack Obama. #Forward,hopeful,hopeful
